State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,583,696,640,663,762,750,650,662,675,770,812,732,777,796,848,784,782,723,779,627,744,787,681,711
Alaska,47,54,56,62,59,66,58,51,55,81,87,83,70,76,82,65,89,103,94,72,95,81,68,72
Arizona,607,778,735,749,830,917,902,912,1172,1381,1208,1128,1260,1345,1409,1156,1108,926,929,725,783,922,920,861
Arkansas,436,472,532,474,412,382,487,387,431,538,440,545,584,504,532,475,471,432,462,412,420,502,496,416
California,"4,294","4,321",4605,4634,4724,4716,4427,4589,5344,5638,6073,6352,6015,5675,6112,5441,5435,4872,4664,3980,4332,4615,4346,4568
Colorado,425,383,436,436,450,530,466,478,541,613,615,661,613,560,661,538,467,427,521,535,546,455,465,498
Connecticut,258,249,279,278,352,326,275,309,276,292,303,356,363,400,308,324,351,388,348,291,396,285,368,301
Delaware,65,53,73,60,74,78,80,80,82,109,109,123,121,127,103,106,110,89,72,63,104,117,97,81
Florida,"1,754","2,077",2058,2148,2028,1975,2068,2250,2370,2676,3006,2822,2926,2888,3282,3253,2659,2864,2883,2455,2854,2721,2988,2622
Georgia,982,1069,939,1014,1132,1298,1172,1294,1477,1775,1814,1783,1752,1592,1676,1833,1580,1356,1548,1249,1399,1490,1280,1427
Hawaii,106,138,138,117,106,110,116,94,125,156,162,162,188,152,147,151,129,144,128,115,155,156,126,116
Idaho,162,151,147,138,136,143,141,149,185,209,213,248,229,205,199,204,187,202,202,127,170,177,159,178
Illinois,"1,307","1,249",1594,1592,1546,1441,1338,1262,1564,1690,1798,1807,1608,1695,1756,1380,1517,1379,1292,1160,1010,1339,1173,1224
Indiana,513,511,552,610,712,774,674,740,901,1023,1041,989,964,743,948,880,768,748,761,677,807,704,704,566
Iowa,237,212,267,260,316,327,301,264,285,319,307,315,310,330,317,321,302,278,277,298,290,309,299,254
Kansas,213,267,269,288,304,337,349,319,346,374,400,402,397,373,345,404,321,421,212,266,267,206,298,254
Kentucky,502,503,571,589,723,599,690,653,724,727,754,689,776,871,861,851,667,633,696,599,621,725,763,603
Louisiana,750,709,777,750,744,748,713,673,788,636,949,947,944,863,1049,854,923,970,858,816,704,830,761,964
Maine,128,132,170,149,149,166,134,142,158,148,164,178,170,161,190,165,167,158,153,140,109,123,133,103
Maryland,386,385,400,472,550,542,469,491,481,543,628,537,585,611,584,566,424,467,480,424,569,469,535,550
Massachusetts,618,561,648,652,594,641,758,707,727,717,711,688,743,784,902,782,649,724,601,521,586,522,658,632
Michigan,967,927,1152,1125,1318,1196,1323,1076,1273,1376,1530,1449,1331,1428,1462,1259,1091,1259,1036,1007,1112,1147,1206,1199
Minnesota,276,361,325,376,356,412,422,482,506,576,563,528,534,649,447,428,470,519,456,322,476,382,427,417
Mississippi,418,539,513,456,536,571,596,655,525,658,658,510,636,657,654,563,622,538,567,560,516,506,531,462
Missouri,505,537,551,602,686,659,659,742,780,926,890,910,905,824,620,582,762,666,745,568,647,742,693,590
Montana,126,119,122,139,129,128,125,122,125,131,142,163,134,145,121,121,121,101,107,102,118,120,117,92
Nebraska,145,158,181,168,163,167,180,174,188,176,184,187,226,202,221,192,179,194,199,165,162,159,154,181
Nevada,180,152,188,244,260,260,241,250,278,343,446,414,433,480,478,371,298,409,390,323,404,397,380,449
New Hampshire,56,81,73,73,71,73,71,76,91,103,84,99,106,119,95,94,84,88,82,49,87,96,115,83
New Jersey,612,683,681,741,693,592,762,742,787,806,966,988,814,984,1013,1004,828,774,725,554,744,698,799,827
New Mexico,312,323,328,338,314,347,328,271,381,381,372,451,420,454,406,400,364,380,342,315,343,377,427,361
New York,"2,604","2,664",2690,2707,2847,2760,2668,2757,2734,3018,3062,3085,3328,2825,2755,2791,2314,2641,2145,2382,2313,2428,2480,2122
North Carolina,"1,000","1,013",1165,1289,1229,1115,1225,1423,1285,1576,1633,1459,1652,1793,1678,1509,1363,1494,1355,1324,1441,1249,1525,1470
North Dakota,65,86,73,61,61,70,70,57,74,69,82,67,79,71,71,82,83,84,72,61,81,65,74,77
Ohio,"1,117","1,174",1099,1226,1304,1392,1371,1446,1557,1526,1746,1708,1751,1571,1792,1550,1573,1458,1365,1424,1487,1364,1154,1289
Oklahoma,503,508,489,440,373,543,531,476,484,468,603,522,668,518,647,551,571,482,518,422,604,589,665,508
Oregon,371,408,380,446,421,436,439,481,403,510,537,553,523,593,570,478,486,430,404,336,387,389,419,435
Pennsylvania,"1,033","1,158",1152,1279,1383,1372,1397,1273,1335,1376,1535,1604,1756,1576,1581,1542,1396,1411,1476,1092,1352,1362,1383,1301
Rhode Island,106,100,116,121,122,127,110,99,132,134,146,139,141,142,119,123,119,127,92,96,93,102,90,95
South Carolina,441,603,568,516,615,626,474,617,624,618,773,874,779,745,788,683,690,773,642,775,684,713,677,629
South Dakota,79,62,85,95,102,90,82,74,104,113,109,117,106,85,109,118,124,91,90,91,102,74,80,67
Tennessee,759,802,839,829,932,872,879,906,924,1031,1052,1030,1194,1170,1122,973,988,769,800,879,912,740,736,757
Texas,"3,204","3,129",3362,3705,3669,3681,3816,3903,3834,4262,4633,4458,4444,4425,4364,4036,3812,3768,3894,3174,4057,3977,4031,3709
Utah,170,238,228,213,241,232,235,255,209,270,278,309,312,239,298,279,264,269,219,236,242,264,200,214
Vermont,60,59,61,52,48,47,48,61,55,58,67,71,69,54,57,65,60,63,60,53,55,47,58,43
Virginia,577,564,702,740,693,684,651,664,799,831,835,907,850,854,842,894,929,847,821,737,663,831,704,815
Washington,634,634,657,766,700,636,502,661,680,781,779,854,796,819,852,819,800,736,647,527,625,587,696,689
West Virginia,261,291,293,310,254,276,277,265,260,285,306,318,301,315,376,261,326,311,279,242,249,296,270,232
Wisconsin,493,423,467,528,676,553,555,601,544,599,567,743,640,618,628,654,620,551,499,479,466,551,386,535
Wyoming,52,42,44,48,50,54,51,56,54,50,53,60,56,68,55,56,62,70,53,52,55,53,40,54
