State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,
Alabama,69420,165905,137749,93914,178142,243699,208060,167028,169232,133397,123112,100233,126118,150285,195919,207143,,
Alaska,,,,,,,,,,,,,,,,,,
Arizona,,,,,,,,,,,,,,,,,,
Arkansas,1118710,1268386,1222045,1257279,2051880,1938864,1568084,1379082,1588244,1563043,1358045,1197752,1564755,1634483,2400555,2169478,,
California,,,,,,,,,,,,,,,,,,
Colorado,,,,,,,,,,,,,,,,,,
Connecticut,,,,,,,,,,,,,,,,,,
Delaware,41351,66089,69521,61022,93070,92826,78659,64461,68650,64240,60447,57181,81382,88718,99299,89447,,
Florida,3720,8882,7519,4676,8180,13515,14148,10444,9967,5986,3661,NA,NA,NA,NA,NA,,
Georgia,94545,151554,115061,47833,80994,127296,120123,111422,107424,62118,46944,31821,43062,65051,90319,92736,,
Hawaii,,,,,,,,,,,,,,,,,,
Idaho,,,,,,,,,,,,,,,,,,
Illinois,3462962,4713120,4758945,4759034,6049685,5622929,6072707,4756980,5726559,5443345,5715495,5473623,5770533,7012380,9557549,9609995,,
Indiana,2132477,2769320,2837242,2730223,3509006,3367188,3431568,2644103,3064518,2959956,2847134,2808662,3274178,3996047,4732349,4776128,,
Iowa,4281528,5213553,5243607,4825572,6359326,5927389,5232073,4317827,5945903,4938526,4721622,4306957,5339044,6633027,8693188,8141209,,
Kansas,776606,1547371,1683731,1088308,1222911,1568878,1354317,1097634,1835368,1610294,1567742,1605666,2048626,2121399,2076140,1622843,,
Kentucky,338987,566658,601135,576433,706579,1047940,932109,788400,883530,823333,903463,772297,870104,1153840,1313886,1401783,,
Louisiana,260845,379734,457759,381634,735475,763514,795234,623612,574853,639694,526178,371067,559480,675739,701024,591410,,
Maine,,,,,,,,,,,,,,,,,,
Maryland,109266,173327,187462,168189,270653,276340,221255,181813,209078,201226,197807,182439,240765,280015,325325,287897,,
Massachusetts,,,,,,,,,,,,,,,,,,
Michigan,709787,785818,871613,909819,1205990,1113748,920211,813868,1027505,919174,834059,723088,942519,1339622,1586361,1442008,,
Minnesota,2795321,2937847,3127958,2939507,4173876,4145477,3272331,2750087,3802027,3303125,3214866,2867933,3455352,4289597,5137395,5013709,,
Mississippi,563919,891133,855048,733116,1267065,1289060,1176298,946086,1078348,1013980,799569,981462,1058319,1481101,1667772,1606095,,
Missouri,1781327,1982025,2302491,2357048,2321004,2679419,2501365,1882905,2190164,2563157,2480565,2110233,2824074,3089772,4060843,3885811,,
Montana,,,,,,,,,,,,,,,,,,
Nebraska,1930130,2867222,2326223,3015842,3185329,3052206,2929711,2401085,3152395,2780853,2580655,2411686,3278196,3548736,4152599,3846165,,
Nevada,,,,,,,,,,,,,,,,,,
New Hampshire,,,,,,,,,,,,,,,,,,
New Jersey,21927,32415,29417,26968,45780,47086,41768,31930,33901,35230,34206,30700,44513,48586,49217,49031,,
New Mexico,,,,,,,,,,,,,,,,,,
New York,85641,110505,125644,124767,171933,187921,149787,112535,131937,107032,112844,116738,151525,173628,204143,215345,,
North Carolina,406625,457867,580177,468359,684077,807930,650827,592716,502538,637319,494405,460195,595579,834877,874776,885489,,
North Dakota,951115,1192476,1247889,1310201,2041346,1924797,1994802,1354998,2335554,1891297,1829681,1730193,1883329,2122217,2670153,2700617,,
Ohio,1776156,2127641,2317026,2057177,3134380,3311850,2563495,2128516,2549899,2336445,2414079,2172444,2615619,3061518,4240012,3852288,,
Oklahoma,55151,108120,129180,73733,50550,100387,111144,92344,128402,143477,140336,121212,157186,139700,116142,118341,,
Oregon,,,,,,,,,,,,,,,,,,
Pennsylvania,157819,198040,221454,214676,315215,353838,294677,222261,254375,243182,231734,238596,328367,345585,388273,348307,,
Rhode Island,,,,,,,,,,,,,,,,,,
South Carolina,101313,159954,132344,102174,153223,154600,139553,110317,114913,125823,106911,81234,115447,159452,218948,220205,,
South Dakota,1306240,1785966,1557363,1442604,2095145,2242851,2226103,1829310,2502972,2105339,1902396,1632504,2001489,2390942,2774530,2933559,,
Tennessee,335013,654994,499018,470501,574614,815116,835003,744784,679502,711231,653899,623075,798614,781343,1094125,1021566,,
Texas,35813,49880,53496,30374,33969,35808,41336,31890,37848,50349,41439,21969,32180,37083,31161,25512,,
Utah,,,,,,,,,,,,,,,,,,
Vermont,,,,,,,,,,,,,,,,,,
Virginia,137641,195941,182267,178459,308540,323370,259311,192670,212080,208519,205710,182492,254486,294319,350918,313666,,
Washington,,,,,,,,,,,,,,,,,,
West Virginia,5124,7858,7043,6692,12130,14159,13014,10740,12159,11809,11772,NA,NA,NA,NA,NA,,
Wisconsin,487847,577024,777279,664060,1059644,874420,689426,725898,983902,889951,876156,655184,1024064,1129094,1542145,1530445,,
Wyoming,,,,,,,,,,,,,,,,,,
